network_name,batch_size,smote_augmentation,mutation_probability,adam_learning_rate,init_time,fid,tvd,execution_time,best FID client,n_iterations,grid_size,label_rate
five_layer_perceptron,100,100,0.5,0.0005,07-07-20 22:13,2.07244629,0.031506397,17.43333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.4,0.0005,07-07-20 9:24,2.049543727,0.041849013,13.15,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.4,0.0005,07-07-20 19:10,2.047315761,0.030213816,10.68333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.4,0.0001,07-07-20 11:54,1.927595501,0.034628709,23.23333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.3,0.00025,07-07-20 15:38,1.925355685,0.031524175,19.73333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.3,0.00025,07-07-20 15:24,1.891144148,0.039099832,19.11666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.3,0.00025,07-07-20 6:26,1.873407505,0.032687325,12.91666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.4,0.00025,07-07-20 16:37,1.870318985,0.0312022,19.81666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.5,0.0005,07-07-20 15:13,1.866284238,0.017425423,11.13333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.4,0.0005,06-07-20 22:35,1.864187159,0.03781539,9.516666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.5,0.00025,07-07-20 17:18,1.859624743,0.027034686,19.08333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.4,0.0001,07-07-20 21:03,1.855891023,0.039982443,17.46666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.5,0.0005,07-07-20 18:16,1.852461659,0.050137499,19.26666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.5,0.0001,07-07-20 17:56,1.851640965,0.013022842,19.78333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.3,0.0001,07-07-20 10:39,1.844983806,0.039076592,22.38333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.3,0.0001,07-07-20 20:10,1.843794726,0.026012138,17.4,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.5,0.0005,07-07-20 4:56,1.83976451,0.031087516,13.85,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.3,0.00025,07-07-20 10:21,1.829727949,0.029474932,23.28333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.4,0.0001,07-07-20 21:25,1.829384542,0.022849842,18.28333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.5,0.00025,07-07-20 12:41,1.822544078,0.026982982,23.2,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.5,0.0005,07-07-20 4:53,1.822114493,0.021087611,13.88333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.3,0.0001,07-07-20 15:43,1.821020175,0.022933314,19.13333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.4,0.00025,07-07-20 16:21,1.820993268,0.029252763,18.96666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.3,0.00025,06-07-20 23:15,1.819303971,0.031472858,16,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.3,0.00025,07-07-20 10:16,1.818382549,0.03514776,22.58333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.5,0.00025,07-07-20 2:33,1.810575766,0.027891359,8.666666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.4,0.00025,07-07-20 11:24,1.808292778,0.022632297,22.41666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.5,0.00025,07-07-20 17:36,1.80380524,0.023141665,19.73333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.5,0.00025,07-07-20 21:38,1.799036652,0.030029054,17.43333333,127.0.0.1:5000,1000,1,1
